Feature,Coefficient - 1,Coefficient - 2,Coefficient - 3,Coefficient - 4,Coefficient - 5,Coefficient - 6,Coefficient - 7,Coefficient - 8,Coefficient - 9,Coefficient - 10
Day-ahead Price [GBP/MWh]_standardized d-2 h=16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01889109765694408,0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006271062006479567,0.017264938260295848
Day-ahead Price [GBP/MWh]_standardized d-2 h=19,0.01225795510737169,0.012971640177194845,0.015099599098522928,0.01583014471775356,0.017923975726745613,0.012944358709190844,0.006226202047752974,0.0025215987466713917,0.0,0.003259713796467289
Day-ahead Price [GBP/MWh]_standardized d-2 h=20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-3 h=1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-3 h=2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-3 h=3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-3 h=4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-3 h=5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-3 h=6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-3 h=7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-3 h=8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01042111687136331,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-3 h=9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-3 h=10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-3 h=11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-3 h=12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-3 h=13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-3 h=14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-3 h=15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-3 h=16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-3 h=17,0.0,0.0,0.00024454283256618656,0.0,0.0,0.00043112483841404,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-3 h=18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-3 h=19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-3 h=20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-3 h=21,0.13662531141259285,0.13597107382050633,0.13503224070673212,0.1357821864818621,0.13278475969103112,0.13316685478897697,0.13305927350015836,0.17830685788408787,0.1637981166898038,0.16275996871167617
Day-ahead Price [GBP/MWh]_standardized d-3 h=22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-3 h=23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-3 h=24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-7 h=1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-7 h=2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-7 h=3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-7 h=4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-7 h=5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-7 h=6,0.033184422724770526,0.04672979684492319,0.06186821066087778,0.06390837817911181,0.06377138154387321,0.06600890880450826,0.0567236205024593,0.0,0.0052075984230513855,0.005533919717863245
Day-ahead Price [GBP/MWh]_standardized d-7 h=7,0.04140773416525728,0.025966853956835623,0.005538520052286012,0.005376897081486316,0.002968549314989014,0.0008650682855629556,0.006771414742897132,0.06182179497984707,0.053485296912494436,0.056253536063645145
Day-ahead Price [GBP/MWh]_standardized d-7 h=8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-7 h=9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-7 h=10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-7 h=11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-7 h=12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-7 h=13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-7 h=14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004737966047756193,0.0
Day-ahead Price [GBP/MWh]_standardized d-7 h=15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-7 h=16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-7 h=17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-7 h=18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-7 h=19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-7 h=20,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-7 h=21,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-7 h=22,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-7 h=23,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-7 h=24,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Net Load_standardized d-0 h=1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Net Load_standardized d-0 h=2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Net Load_standardized d-0 h=3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Net Load_standardized d-0 h=4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Net Load_standardized d-0 h=5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Net Load_standardized d-0 h=6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Load_standardized d-0 h=7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Load_standardized d-0 h=8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Load_standardized d-0 h=9,0.11987372171169296,0.11908422019265678,0.12255628290433557,0.12146349286640112,0.1180725590691656,0.12788198223233033,0.14987893229664864,0.15772603501282317,0.15277345494456693,0.1495287353458769
Net Load_standardized d-0 h=10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Load_standardized d-0 h=11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Load_standardized d-0 h=12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Load_standardized d-0 h=13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Load_standardized d-0 h=14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Load_standardized d-0 h=15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Load_standardized d-0 h=16,0.14052442770577483,0.13984332088527834,0.1327825752031213,0.13580279111744284,0.1380729057725188,0.12829526056135143,0.10941872395696613,0.1254608468847685,0.13749907442900752,0.13969841544705777
Net Load_standardized d-0 h=17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Load_standardized d-0 h=18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Load_standardized d-0 h=19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Load_standardized d-0 h=20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039367955092753586,0.014772429281959425,0.011627336806527203
Net Load_standardized d-0 h=21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Load_standardized d-0 h=22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Load_standardized d-0 h=23,0.046456106347963634,0.06075650546396845,0.08207023616984788,0.09031828407681854,0.10037349988983871,0.11328099347792353,0.09696136309575612,0.05174192591778557,0.12239229184587382,0.13286233753118804
Net Load_standardized d-0 h=24,0.10272886236160833,0.09043676492472401,0.0703128141454082,0.06025848533354624,0.051220116443868056,0.03363581491408002,0.0488880961599854,0.07205360073219827,0.022127339184980888,0.017052734004806846
Net Load_standardized d-1 h=1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Net Load_standardized d-1 h=2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Net Load_standardized d-1 h=3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Net Load_standardized d-1 h=4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Net Load_standardized d-1 h=5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Net Load_standardized d-1 h=6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Net Load_standardized d-1 h=7,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Net Load_standardized d-1 h=8,-0.05349463396810067,-0.05208020659553464,-0.05223910083257966,-0.05072421441693156,-0.052193354024454824,-0.050584912364811455,-0.042186906965198265,-0.06650218111624528,-0.07487687471015309,-0.07444232057924859
Net Load_standardized d-1 h=9,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Net Load_standardized d-1 h=10,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Net Load_standardized d-1 h=11,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Net Load_standardized d-1 h=12,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Net Load_standardized d-1 h=13,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
Net Load_standardized d-1 h=14,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
Net Load_standardized d-1 h=15,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Net Load_standardized d-1 h=16,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Net Load_standardized d-1 h=17,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Net Load_standardized d-1 h=18,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Net Load_standardized d-1 h=19,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Net Load_standardized d-1 h=20,-0.050002259274732896,-0.05064147219406586,-0.05035835887633861,-0.049806572989419755,-0.05205466340218434,-0.06615289456473024,-0.08455466528512165,-0.036496159835277556,-0.012237856173486446,-0.011621940223230385
Net Load_standardized d-1 h=21,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Net Load_standardized d-1 h=22,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Net Load_standardized d-1 h=23,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Net Load_standardized d-1 h=24,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Net Load_standardized d-7 h=1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Load_standardized d-7 h=2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Load_standardized d-7 h=3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Load_standardized d-7 h=4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Load_standardized d-7 h=5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Load_standardized d-7 h=6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Load_standardized d-7 h=7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Load_standardized d-7 h=8,0.004634897383249631,0.005188122597701925,0.005785102800234101,0.005246357456268385,0.005557505778292033,0.0074015102127929664,0.009990088775394753,0.01927842177651692,0.02874512344601977,0.028520963301444657
Net Load_standardized d-7 h=9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Load_standardized d-7 h=10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Load_standardized d-7 h=11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Load_standardized d-7 h=12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Load_standardized d-7 h=13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Load_standardized d-7 h=14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Load_standardized d-7 h=15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Load_standardized d-7 h=16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Load_standardized d-7 h=17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Load_standardized d-7 h=18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Load_standardized d-7 h=19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Load_standardized d-7 h=20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Load_standardized d-7 h=21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Load_standardized d-7 h=22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Load_standardized d-7 h=23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Load_standardized d-7 h=24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h1,-0.10305349584614654,-0.10523616405120796,-0.1079100987421075,-0.1128454527603303,-0.11786183949230472,-0.12094474040445885,-0.12310611375558306,-0.13558305116075509,-0.1412322173747636,-0.14626779844787333
h2,-0.12169301187494379,-0.12426001959942772,-0.12717813890372592,-0.13218601493727403,-0.13734663084579413,-0.13980698322189672,-0.14225328389165875,-0.15515448866738638,-0.16104919758496822,-0.16622574841820537
h3,-0.08140988435106035,-0.0844321239020798,-0.08713919599324042,-0.09205064762438925,-0.09704150226108058,-0.09915146737212878,-0.10155566724647727,-0.11472251446036187,-0.12066991727672105,-0.12592903999257507
h4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
h5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h10,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
h11,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
h12,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
h13,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
h14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h15,0.04943388167433623,0.0519474892931535,0.05657084472858948,0.06271886462554517,0.06747230699184244,0.07118094342499093,0.07666480290294361,0.10502183439648799,0.11080561450860567,0.11544017871495038
h16,0.4079243275655247,0.40997183863640746,0.41538614578955063,0.4231853317208239,0.4294690700958975,0.43325538928703544,0.4403154482216665,0.5008823043869739,0.5074619253414273,0.5118783802657245
h17,0.5031856615388892,0.5038940956975828,0.5078897418543044,0.514377827530987,0.5196152932355254,0.5227687424052835,0.5281735610350733,0.5761707493980825,0.579875021834805,0.5821109271747132
h18,0.30461848225174254,0.30397425859650334,0.30598790795236586,0.3102199342309493,0.31283384133613107,0.3138743738121958,0.3158356189951869,0.3303080797793558,0.3310834949454641,0.33133006979757107
h19,0.05634194315662287,0.0540508993556244,0.05416729673752491,0.05546666309300655,0.05541246624110408,0.05379358653720419,0.052949289037437626,0.051820281513462886,0.050541992717491414,0.04856999146031804
h20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h21,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
h22,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
h23,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
h24,-0.02889987098495766,-0.03073079383479075,-0.03213844524686246,-0.035041824745799616,-0.03939084596596015,-0.0443737150324251,-0.0475642491178857,-0.060769666092730476,-0.06745559834605373,-0.07351273484852255
d1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
d4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
