Feature,Coefficient - 1,Coefficient - 2,Coefficient - 3,Coefficient - 4,Coefficient - 5,Coefficient - 6,Coefficient - 7,Coefficient - 8,Coefficient - 9,Coefficient - 10
Last Closing Gas Price [GBpence/therm]_standardized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00043014204796780605,-0.14135331442763974,-0.1346124628478015
Day-ahead Price [GBP/MWh]_standardized d-1 h=8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=10,0.0,0.012246651812337521,0.01074651082845403,0.084555593918281,0.03211480166822335,0.01985916324828514,0.08827807226107719,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=15,0.0,0.0,0.034030595916436375,0.0026740765497338644,0.0679474282913364,0.008556785885557723,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=16,0.08638837798823591,0.12465393210300273,0.10342808285837489,0.11140819013156446,0.0851840278487956,0.12215318674302225,0.11487802505290741,0.13373078427898533,0.03949409684290141,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=17,0.04847701565206003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01627382367369811,0.0632072468502262
Day-ahead Price [GBP/MWh]_standardized d-1 h=18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=22,0.1528602400422174,0.13282452804270187,0.1318324071727985,0.006779794820422188,0.0,0.0,0.0,0.15673515145906075,0.6125773872201233,0.6001092746945768
Day-ahead Price [GBP/MWh]_standardized d-1 h=23,0.3132909918076997,0.3463296874587993,0.3476914348942968,0.4085151924048781,0.42236434503822157,0.44315580646694613,0.4343888754688508,0.18432475225005363,0.0,0.0016095680251402755
Day-ahead Price [GBP/MWh]_standardized d-1 h=24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=10,0.0,0.0,0.0,0.0,0.029450293231067393,0.014272199017950649,0.0,-0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=16,0.009369034190637223,0.0063076972728614185,0.009268730693834522,0.004558611110812758,0.0051500033455567475,0.0,0.0,0.0,0.038411803804347965,0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026219529416013476
Day-ahead Price [GBP/MWh]_standardized d-2 h=18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
