Feature,H1 - Coefficient - 1,H2 - Coefficient - 1,H3 - Coefficient - 1,H4 - Coefficient - 1,H5 - Coefficient - 1,H6 - Coefficient - 1,H7 - Coefficient - 1,H8 - Coefficient - 1,H9 - Coefficient - 1,H10 - Coefficient - 1,H11 - Coefficient - 1,H12 - Coefficient - 1,H13 - Coefficient - 1,H14 - Coefficient - 1,H15 - Coefficient - 1,H16 - Coefficient - 1,H17 - Coefficient - 1,H18 - Coefficient - 1,H19 - Coefficient - 1,H20 - Coefficient - 1,H21 - Coefficient - 1,H22 - Coefficient - 1,H23 - Coefficient - 1,H24 - Coefficient - 1
Last Closing Gas Price [GBpence/therm]_standardized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21081488835037238,0.14277269433574635,0.0,0.0,0.0,0.0,0.0,0.0,0.0029443838180813493,0.0,0.2284050888388643,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=1,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=2,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=3,0.00634855558738342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=4,0.04386681968317282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28680745421971704,0.4253812867300064,0.42980299519194887,0.16974997417235577,0.0,0.0,0.40999891476351946,1.25533266811305,1.130731705246509,0.7663233130946692,0.37686749496381267,0.0,0.13901800883681376,-0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=5,0.0,-0.0,0.0,0.0,0.0,0.07920076010015228,0.16452452345729124,0.3882232656213687,0.2814073800322467,0.2362782595197676,0.36934398113208655,0.6253940062413872,0.7904520798116009,0.897844328405153,0.5681260195117429,0.0,0.033828876544779896,0.0,0.07636448631073198,0.3228859333330612,0.08689056554386514,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=6,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=7,-0.00711548277896644,-0.07149390800242979,-0.0,-0.0,-0.0,0.0866613603520835,0.214422075888234,0.0,0.0,0.0,0.0,0.0,0.06178444608306416,0.0002238829443624053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022948611151560615,0.040511266952355,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=8,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.011055408850036013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=9,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=10,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=11,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=12,-0.0,-0.0,-0.06916572456395283,-0.14145446584511556,-0.005147561535581688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=13,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=14,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.033900449174362975
Day-ahead Price [GBP/MWh]_standardized d-1 h=15,0.0,-0.0,-0.0,0.0,0.0,0.17828252623604082,0.0,0.0734931533637819,0.11906585094685038,0.07484054247796061,0.03597784856445734,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=16,0.00015954755392248604,0.0,0.0,0.0,0.11480502465382957,0.05279453087763683,0.07978857381922061,0.0,0.0,0.0,0.0,0.030511559794930213,0.029479925782950524,0.022418625307086,0.026654571082681284,0.30523028871103286,0.2231264700462886,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=17,0.014504385532458636,0.010695181763736012,0.003060545438087336,0.05255743512389773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07648914739012537,-0.03878220012610573,-0.0432551798735274,-0.003319269987962387,0.0,-0.0,0.004908569694103654
Day-ahead Price [GBP/MWh]_standardized d-1 h=18,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=19,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.026749570546700765,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=20,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=21,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=23,0.0,0.0,0.0,0.0,0.0,0.3747483359382487,0.3178085947650796,0.4617153498674087,0.2254674319624319,0.18069514622076777,0.10645136058395646,0.08176011068803599,0.031279540016336385,0.0,0.0,0.0062678737244729376,0.0,0.09194820316435848,0.08592875818038148,0.3046158201632568,0.33960561241892856,0.6016291853572214,0.6122896749443615,0.5692658623192369
